"","CJI1.A.CD1.ET1.1","CJI2.B.CD1.ET2.1","CJI3.I.K5PP3W.ET1.1","CJI4.J.K5PP3W.ET2.1","CJI5.K.K5PP3W.Rap1.1","CJI6.L.K5PP3W.Rap2.1"
"ENSMUSG00000052776",38,13,199,50,5,2
"ENSMUSG00000052783",257,186,51,87,107,117
"ENSMUSG00000052794",391,366,346,267,344,282
"ENSMUSG00000052798",524,537,958,664,564,525
"ENSMUSG00000052812",1111,1145,1447,1390,1522,1393
"ENSMUSG00000052821",31,25,22,11,11,19
"ENSMUSG00000052825",27,48,56,42,37,43
"ENSMUSG00000052833",737,882,1849,1345,1118,903
"ENSMUSG00000052837",25432,22144,8556,10935,15562,15876
"ENSMUSG00000052852",119,90,33,27,42,34
"ENSMUSG00000052861",24,22,2,6,18,27
"ENSMUSG00000052889",20,12,12,12,16,11
"ENSMUSG00000052906",748,724,633,651,713,636
"ENSMUSG00000052911",3649,2880,2508,2580,2962,3130
"ENSMUSG00000052912",51,64,56,35,40,34
"ENSMUSG00000052914",515,334,329,280,334,332
"ENSMUSG00000052915",2044,1679,1572,1567,2195,1992
"ENSMUSG00000052917",1218,1122,855,933,1240,1138
"ENSMUSG00000052920",29,9,2,7,10,12
"ENSMUSG00000052921",74,31,9,7,10,9
"ENSMUSG00000052926",1048,914,1512,1204,1098,951
"ENSMUSG00000052928",433,479,380,382,414,502
"ENSMUSG00000052934",584,386,210,231,257,214
"ENSMUSG00000052942",503,480,303,151,375,282
"ENSMUSG00000052949",112,103,50,56,28,19
"ENSMUSG00000052957",399,538,723,769,410,373
"ENSMUSG00000052962",296,297,443,416,330,243
"ENSMUSG00000052974",514,378,11132,13177,16524,14418
"ENSMUSG00000052997",1531,1558,2468,1930,1716,1490
"ENSMUSG00000053007",207,151,211,247,146,117
"ENSMUSG00000053012",1498,1210,1802,1722,1710,1509
"ENSMUSG00000053038",26,27,41,42,37,40
"ENSMUSG00000053040",102,90,100,118,48,147
"ENSMUSG00000053046",167,87,19,24,81,95
"ENSMUSG00000053049",8,11,31,24,14,15
"ENSMUSG00000053062",182,330,43,47,71,88
"ENSMUSG00000053070",446,451,222,264,364,296
"ENSMUSG00000053080",255,267,486,451,516,377
"ENSMUSG00000053081",14,13,17,11,10,12
"ENSMUSG00000053091",299,340,275,273,261,227
"ENSMUSG00000053094",1906,1921,1579,1518,1590,1377
"ENSMUSG00000053110",6849,6284,5616,5878,8972,8154
"ENSMUSG00000053113",3478,3323,2254,1648,3647,2080
"ENSMUSG00000053117",21,16,10,8,8,11
"ENSMUSG00000053119",1468,1358,1795,1814,1596,1624
"ENSMUSG00000053128",237,226,380,340,241,189
"ENSMUSG00000053134",383,394,387,378,385,271
"ENSMUSG00000053137",54,39,80,72,31,31
"ENSMUSG00000053141",139,184,13,36,27,32
"ENSMUSG00000053158",155,135,172,193,129,117
"ENSMUSG00000053164",43,36,42,48,69,40
"ENSMUSG00000053173",23,21,27,32,31,27
"ENSMUSG00000053175",157,214,581,328,192,149
"ENSMUSG00000053178",26,21,17,18,23,8
"ENSMUSG00000053192",82,72,98,92,95,86
"ENSMUSG00000053198",152,129,74,68,94,110
"ENSMUSG00000053199",500,411,72,137,366,530
"ENSMUSG00000053205",226,196,192,190,206,182
"ENSMUSG00000053214",20,21,6,16,2,12
"ENSMUSG00000053226",78,58,31,31,39,72
"ENSMUSG00000053253",1566,1481,1861,2203,2143,2272
"ENSMUSG00000053263",492,320,190,163,250,191
"ENSMUSG00000053279",15554,16437,4541,6970,13581,11405
"ENSMUSG00000053286",517,459,620,628,694,386
"ENSMUSG00000053289",767,816,1004,789,713,643
"ENSMUSG00000053291",637,574,624,702,657,701
"ENSMUSG00000053293",1948,2316,1969,1753,1823,1820
"ENSMUSG00000053297",14,15,31,31,21,11
"ENSMUSG00000053317",323,424,436,390,272,252
"ENSMUSG00000053329",366,331,316,349,293,280
"ENSMUSG00000053332",2545,2776,3650,3334,2740,3568
"ENSMUSG00000053333",632,604,681,620,677,547
"ENSMUSG00000053334",217,240,147,197,200,134
"ENSMUSG00000053347",485,409,469,467,498,467
"ENSMUSG00000053353",56,31,51,27,38,24
"ENSMUSG00000053358",215,166,313,316,296,200
"ENSMUSG00000053390",144,108,158,145,161,112
"ENSMUSG00000053398",1357,1325,1217,1566,1515,1596
"ENSMUSG00000053399",12,4,127,34,19,15
"ENSMUSG00000053411",655,469,72,113,260,288
"ENSMUSG00000053414",3079,3198,1869,2037,3611,4244
"ENSMUSG00000053436",1339,1144,1708,1489,1315,992
"ENSMUSG00000053442",267,299,1046,586,948,506
"ENSMUSG00000053453",573,565,796,724,762,649
"ENSMUSG00000053460",629,549,470,590,475,585
"ENSMUSG00000053470",3150,3777,2260,2759,2266,3220
"ENSMUSG00000053477",3593,3030,1956,2081,3450,3474
"ENSMUSG00000053483",489,367,446,501,542,348
"ENSMUSG00000053510",4904,4493,3356,3297,3226,3111
"ENSMUSG00000053522",1461,1436,2858,3965,2157,2005
"ENSMUSG00000053536",857,745,713,789,754,515
"ENSMUSG00000053541",78,35,9,2,17,9
"ENSMUSG00000053552",153,109,25,56,89,118
"ENSMUSG00000053553",240,299,266,140,134,155
"ENSMUSG00000053559",191,182,110,87,56,63
"ENSMUSG00000053560",15715,10842,5803,7219,8895,7718
"ENSMUSG00000053565",1907,1838,2269,1771,2013,2092
"ENSMUSG00000053574",34,17,22,14,20,19
"ENSMUSG00000053580",6971,7043,8203,9534,9459,10188
"ENSMUSG00000053581",550,540,416,428,395,391
"ENSMUSG00000053588",65,82,53,64,69,64
"ENSMUSG00000053600",97,71,96,80,91,46
"ENSMUSG00000053603",91,63,44,71,64,69
"ENSMUSG00000053604",320,262,390,321,286,237
"ENSMUSG00000053617",814,745,7106,5534,4433,2933
"ENSMUSG00000053641",503,590,686,509,487,553
"ENSMUSG00000053644",1057,1068,680,706,725,705
"ENSMUSG00000053646",4262,4165,5513,5213,6485,5292
"ENSMUSG00000053647",64,41,9,10,19,28
"ENSMUSG00000053654",7,31,40,47,34,50
"ENSMUSG00000053656",64,63,95,93,63,110
"ENSMUSG00000053675",5,17,64,30,0,0
"ENSMUSG00000053684",147,177,293,218,157,140
"ENSMUSG00000053693",126,135,113,178,124,131
"ENSMUSG00000053702",687,775,1382,1577,1310,1343
"ENSMUSG00000053706",529,585,1027,1328,836,967
"ENSMUSG00000053714",303,325,99,158,156,175
"ENSMUSG00000053716",1748,1538,1928,1612,1733,1804
"ENSMUSG00000053730",189,127,218,212,213,184
"ENSMUSG00000053740",12,7,22,15,20,12
"ENSMUSG00000053746",52,38,80,69,38,44
"ENSMUSG00000053749",86,103,14,27,50,38
"ENSMUSG00000053754",4648,4469,3939,3693,4458,4048
"ENSMUSG00000053768",699,748,1047,877,767,855
"ENSMUSG00000053769",80,35,14,23,26,22
"ENSMUSG00000053774",3696,3226,2791,2590,3535,3201
"ENSMUSG00000053783",3,3,47,31,16,5
"ENSMUSG00000053797",90,169,1204,913,420,1329
"ENSMUSG00000053799",777,725,286,289,227,198
"ENSMUSG00000053801",101,104,381,171,146,92
"ENSMUSG00000053819",2406,2411,1384,1574,1675,1698
"ENSMUSG00000053830",12,17,37,24,25,6
"ENSMUSG00000053835",103,44,48,26,38,35
"ENSMUSG00000053838",1647,1533,1540,1350,1527,1410
"ENSMUSG00000053841",1834,1767,2017,2165,2083,1592
"ENSMUSG00000053846",45,57,35,39,130,246
"ENSMUSG00000053870",517,530,455,418,494,333
"ENSMUSG00000053877",8127,7199,7372,7225,7861,8299
"ENSMUSG00000053886",1062,877,688,635,517,546
"ENSMUSG00000053889",16,30,9,8,8,28
"ENSMUSG00000053897",584,279,3849,4516,1140,1021
"ENSMUSG00000053898",1254,1069,974,1186,1219,842
"ENSMUSG00000053907",5354,6336,4648,5533,4872,6167
"ENSMUSG00000053914",18,21,7,8,18,6
"ENSMUSG00000053916",7,13,19,11,17,9
"ENSMUSG00000053925",118,103,108,96,88,73
"ENSMUSG00000053929",1879,1685,1782,1906,2373,2035
"ENSMUSG00000053931",4600,5212,3504,4489,4526,4861
"ENSMUSG00000053950",1127,1454,891,953,881,1059
"ENSMUSG00000053957",126,113,18,12,21,28
"ENSMUSG00000053963",25,13,4,0,6,12
"ENSMUSG00000053964",167,137,49,112,84,70
"ENSMUSG00000053965",881,731,1035,880,2409,1152
"ENSMUSG00000053980",4,2,12,10,14,12
"ENSMUSG00000053985",118,113,56,76,138,67
"ENSMUSG00000054000",53,32,73,55,41,48
"ENSMUSG00000054006",304,346,184,214,283,280
"ENSMUSG00000054008",3930,3434,4172,4072,5190,4301
"ENSMUSG00000054021",95,82,69,72,55,60
"ENSMUSG00000054027",763,1013,1040,1118,979,950
"ENSMUSG00000054034",23,18,9,18,28,25
"ENSMUSG00000054051",829,830,850,930,992,929
"ENSMUSG00000054057",54,34,41,61,52,54
"ENSMUSG00000054065",2731,2072,3371,3174,3466,3035
"ENSMUSG00000054072",111,32,1377,55,11,12
"ENSMUSG00000054074",58,58,35,46,39,37
"ENSMUSG00000054079",533,519,887,744,608,559
"ENSMUSG00000054083",1397,1389,1441,1342,1394,1611
"ENSMUSG00000054091",456,498,747,646,681,502
"ENSMUSG00000054099",453,516,292,386,483,484
"ENSMUSG00000054115",86,99,209,173,108,91
"ENSMUSG00000054116",57,60,42,43,39,60
"ENSMUSG00000054146",17619,24786,70365,69973,59420,62604
"ENSMUSG00000054150",58,52,9,14,22,32
"ENSMUSG00000054161",15,18,32,27,10,16
"ENSMUSG00000054169",9,7,44,7,18,16
"ENSMUSG00000054178",317,335,254,272,389,312
"ENSMUSG00000054181",49,52,51,39,32,37
"ENSMUSG00000054199",1039,1045,1009,1052,1045,923
"ENSMUSG00000054203",14,32,20,10,17,16
"ENSMUSG00000054204",15,22,18,12,11,25
"ENSMUSG00000054206",59,38,17,14,38,46
"ENSMUSG00000054226",495,413,420,408,468,330
"ENSMUSG00000054237",151,192,239,197,189,134
"ENSMUSG00000054247",29,41,47,53,37,44
"ENSMUSG00000054252",1288,845,3458,2147,3296,2038
"ENSMUSG00000054256",41,54,195,148,200,181
"ENSMUSG00000054263",766,708,182,142,498,297
"ENSMUSG00000054277",1846,1771,1038,1257,1192,1085
"ENSMUSG00000054280",3105,3380,3063,3090,3621,3233
"ENSMUSG00000054302",917,877,782,811,991,875
"ENSMUSG00000054304",13,20,10,11,14,6
"ENSMUSG00000054309",1208,1147,1433,1285,1317,1040
"ENSMUSG00000054312",193,143,244,223,192,171
"ENSMUSG00000054321",591,932,569,408,491,841
"ENSMUSG00000054342",479,321,168,109,205,181
"ENSMUSG00000054364",9210,5084,5074,6007,5336,4009
"ENSMUSG00000054381",221,291,150,141,139,155
"ENSMUSG00000054383",34,26,18,31,41,40
"ENSMUSG00000054385",470,411,172,236,92,120
"ENSMUSG00000054387",3587,3181,3153,3970,3551,3144
"ENSMUSG00000054400",173,135,113,158,146,163
"ENSMUSG00000054404",283,191,220,81,40,37
"ENSMUSG00000054405",1377,1406,1892,1592,1594,1621
"ENSMUSG00000054408",3050,3464,3520,3268,3166,2329
"ENSMUSG00000054412",42,46,77,53,43,41
"ENSMUSG00000054414",1945,1916,2366,2289,1899,1871
"ENSMUSG00000054426",139,113,107,85,58,64
"ENSMUSG00000054428",1308,1422,2184,2206,2019,1880
"ENSMUSG00000054434",81,53,55,83,38,34
"ENSMUSG00000054435",57,26,24,22,11,11
"ENSMUSG00000054452",2125,2000,2416,2455,2572,2157
"ENSMUSG00000054453",43,55,450,337,623,144
"ENSMUSG00000054455",1238,1237,925,1060,1396,1327
"ENSMUSG00000054459",37,9,555,330,247,143
"ENSMUSG00000054469",786,936,669,618,880,817
"ENSMUSG00000054474",167,133,72,80,76,69
"ENSMUSG00000054484",169,161,109,116,81,82
"ENSMUSG00000054499",444,364,332,297,304,284
"ENSMUSG00000054509",2767,2668,1848,1791,2075,2002
"ENSMUSG00000054514",19,16,7,10,29,8
"ENSMUSG00000054517",257,219,265,273,354,166
"ENSMUSG00000054519",754,617,346,423,646,524
"ENSMUSG00000054520",91,75,604,416,294,236
"ENSMUSG00000054523",0,2,135,306,573,149
"ENSMUSG00000054545",3488,3815,5182,6191,5457,5208
"ENSMUSG00000054555",14,7,26,11,3,5
"ENSMUSG00000054556",588,616,650,945,525,758
"ENSMUSG00000054580",84,72,690,538,263,150
"ENSMUSG00000054582",19,17,18,16,21,16
"ENSMUSG00000054598",142,129,49,68,72,92
"ENSMUSG00000054604",4603,4369,5134,4996,5598,4908
"ENSMUSG00000054611",4220,3661,3980,4029,4162,3914
"ENSMUSG00000054612",126,117,152,162,153,137
"ENSMUSG00000054619",659,653,331,350,522,243
"ENSMUSG00000054622",45,23,27,18,56,41
"ENSMUSG00000054640",79,80,317,369,166,213
"ENSMUSG00000054641",19,40,10,7,2,2
"ENSMUSG00000054648",638,665,330,355,348,336
"ENSMUSG00000054659",256,215,183,149,155,127
"ENSMUSG00000054662",184,127,81,75,50,47
"ENSMUSG00000054675",10,15,12,3,3,6
"ENSMUSG00000054676",7261,8132,7912,7246,10640,9741
"ENSMUSG00000054679",106,64,57,56,86,85
"ENSMUSG00000054690",173,95,11,30,32,21
"ENSMUSG00000054693",2825,3209,8504,7709,3947,3396
"ENSMUSG00000054702",336,427,770,774,450,412
"ENSMUSG00000054708",573,496,138,281,282,329
"ENSMUSG00000054715",241,136,206,268,283,146
"ENSMUSG00000054716",649,475,377,423,378,348
"ENSMUSG00000054717",2282,2508,2565,2120,1751,2165
"ENSMUSG00000054720",185,129,170,51,237,175
"ENSMUSG00000054723",755,669,362,459,567,454
"ENSMUSG00000054733",204,161,125,134,106,133
"ENSMUSG00000054737",367,219,276,242,224,282
"ENSMUSG00000054752",122,141,92,109,75,59
"ENSMUSG00000054753",19,136,4,6,6,12
"ENSMUSG00000054766",3616,4709,8212,6341,5362,4692
"ENSMUSG00000054770",429,326,604,602,511,326
"ENSMUSG00000054792",382,377,402,349,387,306
"ENSMUSG00000054793",106,106,114,105,51,43
"ENSMUSG00000054808",13401,13707,13331,13173,13220,14328
"ENSMUSG00000054814",2849,2862,2255,2359,3572,3204
"ENSMUSG00000054823",4367,4101,3292,3488,4390,4304
"ENSMUSG00000054836",70,83,98,71,51,48
"ENSMUSG00000054843",1915,2052,1804,2047,1982,2159
"ENSMUSG00000054850",38,22,4,12,7,6
"ENSMUSG00000054855",147,198,48,42,41,76
"ENSMUSG00000054863",140,145,50,108,168,141
"ENSMUSG00000054871",49,85,100,96,72,51
"ENSMUSG00000054874",2165,1866,2227,2490,2381,2080
"ENSMUSG00000054889",39859,45944,45802,42626,44016,58547
"ENSMUSG00000054893",104,113,66,48,53,57
"ENSMUSG00000054894",206,274,161,146,145,168
"ENSMUSG00000054901",27,15,10,3,8,11
"ENSMUSG00000054909",18,15,12,18,7,2
"ENSMUSG00000054920",404,343,902,728,509,416
"ENSMUSG00000054931",52,17,24,31,29,22
"ENSMUSG00000054934",10,11,5,12,6,11
"ENSMUSG00000054939",125,112,78,75,109,69
"ENSMUSG00000054942",1156,970,502,574,854,660
"ENSMUSG00000054945",20,17,7,19,25,24
"ENSMUSG00000054951",161,140,135,81,98,107
"ENSMUSG00000054958",43,22,12,2,27,25
"ENSMUSG00000054967",62,21,26,38,43,37
"ENSMUSG00000055013",2381,2429,2002,2241,3002,2676
"ENSMUSG00000055024",7679,6914,4742,4799,6523,6323
"ENSMUSG00000055041",135,104,180,182,125,76
"ENSMUSG00000055044",1712,1375,3502,3324,1809,2205
"ENSMUSG00000055053",6103,5842,5742,5776,7418,6541
"ENSMUSG00000055061",91,76,118,175,138,130
"ENSMUSG00000055065",8976,8736,7414,7933,8056,7865
"ENSMUSG00000055067",311,254,285,236,206,223
"ENSMUSG00000055093",190,163,210,159,157,147
"ENSMUSG00000055114",246,200,135,239,61,86
"ENSMUSG00000055116",793,844,710,728,798,800
"ENSMUSG00000055125",14,25,27,24,7,24
"ENSMUSG00000055128",221,206,180,242,208,184
"ENSMUSG00000055134",75,34,65,39,31,35
"ENSMUSG00000055137",36,30,6,11,16,24
"ENSMUSG00000055148",1166,769,656,781,600,425
"ENSMUSG00000055150",45,27,10,20,30,16
"ENSMUSG00000055172",311,276,103,51,79,78
"ENSMUSG00000055184",34,25,25,14,9,14
"ENSMUSG00000055188",513,445,839,684,536,448
"ENSMUSG00000055200",90,72,84,95,109,72
"ENSMUSG00000055202",13,17,4,6,20,9
"ENSMUSG00000055204",7820,7729,8081,7852,7569,7699
"ENSMUSG00000055216",35,17,14,11,18,27
"ENSMUSG00000055228",254,188,191,175,184,178
"ENSMUSG00000055235",48,30,13,11,17,18
"ENSMUSG00000055239",1345,1259,1303,1261,1516,1431
"ENSMUSG00000055240",276,258,196,236,236,250
"ENSMUSG00000055254",103,103,413,473,590,884
"ENSMUSG00000055271",18,12,16,11,15,12
"ENSMUSG00000055296",5037,4788,3306,2918,4355,3875
"ENSMUSG00000055301",1452,1748,788,987,2070,1576
"ENSMUSG00000055302",2545,2605,3938,3596,3350,2737
"ENSMUSG00000055305",136,85,102,100,125,73
"ENSMUSG00000055313",86,71,90,84,78,41
"ENSMUSG00000055319",1375,1325,1921,1647,1622,1342
"ENSMUSG00000055320",7896,6808,4050,3624,5723,7487
"ENSMUSG00000055322",12497,10803,4197,5213,7209,9020
"ENSMUSG00000055323",86,258,7,14,9,236
"ENSMUSG00000055333",14465,14738,27962,22977,28950,24864
"ENSMUSG00000055334",119,141,174,157,133,95
"ENSMUSG00000055341",49,52,25,44,46,32
"ENSMUSG00000055357",31,34,31,36,49,38
"ENSMUSG00000055368",46,46,286,239,248,197
"ENSMUSG00000055370",148,83,40,46,106,117
"ENSMUSG00000055371",1274,1218,1625,1599,1539,1332
"ENSMUSG00000055373",1702,1142,425,387,320,243
"ENSMUSG00000055401",272,220,261,202,147,141
"ENSMUSG00000055407",692,491,424,369,567,599
"ENSMUSG00000055408",38,21,36,28,33,27
"ENSMUSG00000055413",16,9,16,11,5,11
"ENSMUSG00000055415",68,32,659,393,21,41
"ENSMUSG00000055421",15,17,47,4,174,15
"ENSMUSG00000055424",106,85,108,96,90,80
"ENSMUSG00000055435",4337,4397,2609,3775,5500,4786
"ENSMUSG00000055436",4779,4478,4475,5334,3896,4209
"ENSMUSG00000055447",2942,2414,3746,2097,2501,2072
"ENSMUSG00000055452",73,58,28,52,38,25
"ENSMUSG00000055480",372,371,204,216,294,245
"ENSMUSG00000055485",904,431,871,726,706,679
"ENSMUSG00000055491",892,970,1641,1068,875,729
"ENSMUSG00000055493",168,173,58,42,88,117
"ENSMUSG00000055494",41,25,10,15,18,27
"ENSMUSG00000055497",40,26,12,16,13,14
"ENSMUSG00000055523",31,71,13,26,6,2
"ENSMUSG00000055531",2764,2524,3735,3718,3462,3029
"ENSMUSG00000055538",320,345,277,264,327,307
"ENSMUSG00000055553",5902,5579,5886,5550,5356,6091
"ENSMUSG00000055560",64,72,98,71,66,70
"ENSMUSG00000055561",2039,4171,568,879,430,1121
"ENSMUSG00000055612",980,651,1718,1529,831,1098
"ENSMUSG00000055629",118,150,152,113,57,62
"ENSMUSG00000055632",63,41,24,28,18,9
"ENSMUSG00000055633",124,77,103,93,127,120
"ENSMUSG00000055639",1229,1394,1251,1639,1704,1932
"ENSMUSG00000055652",139,113,197,161,142,141
"ENSMUSG00000055653",2291,2196,422,603,1311,1412
"ENSMUSG00000055660",339,308,429,403,406,309
"ENSMUSG00000055670",2705,2511,2184,2216,2315,2449
"ENSMUSG00000055675",41,54,123,40,16,27
"ENSMUSG00000055676",32,30,31,48,49,31
"ENSMUSG00000055681",1353,1258,1575,1639,1247,1075
"ENSMUSG00000055691",16,9,10,4,6,11
"ENSMUSG00000055692",188,154,88,110,91,86
"ENSMUSG00000055707",660,565,570,602,694,450
"ENSMUSG00000055717",111,119,16,34,32,24
"ENSMUSG00000055720",514,457,512,481,545,422
"ENSMUSG00000055723",1351,1218,1262,1145,1074,1163
"ENSMUSG00000055725",950,890,841,1161,1169,1247
"ENSMUSG00000055732",19,13,4,14,14,14
"ENSMUSG00000055733",48,44,27,35,44,37
"ENSMUSG00000055737",3078,3250,1572,1853,3560,2811
"ENSMUSG00000055745",144,127,128,126,102,75
"ENSMUSG00000055748",14,12,83,59,5,6
"ENSMUSG00000055760",45,48,130,69,67,53
"ENSMUSG00000055762",2353,2366,2742,2224,2364,2481
"ENSMUSG00000055763",10,20,34,10,8,21
"ENSMUSG00000055799",1402,1470,253,390,852,894
"ENSMUSG00000055805",19,21,34,22,11,25
"ENSMUSG00000055809",7,25,10,19,22,19
"ENSMUSG00000055817",783,731,773,766,690,756
"ENSMUSG00000055818",64,32,34,39,28,53
"ENSMUSG00000055827",37,20,264,296,5,25
"ENSMUSG00000055833",70,52,59,60,51,64
"ENSMUSG00000055835",447,405,522,436,492,390
"ENSMUSG00000055839",681,669,974,951,796,637
"ENSMUSG00000055850",990,1085,821,991,894,745
"ENSMUSG00000055862",182,137,36,50,67,73
"ENSMUSG00000055866",1202,1217,1006,1244,1131,1038
"ENSMUSG00000055882",10,7,13,14,6,5
"ENSMUSG00000055884",413,516,554,434,513,538
"ENSMUSG00000055897",411,336,214,295,302,298
"ENSMUSG00000055900",200,228,209,193,260,153
"ENSMUSG00000055912",224,201,139,268,150,117
"ENSMUSG00000055917",528,487,525,514,566,535
"ENSMUSG00000055923",381,450,352,406,356,271
"ENSMUSG00000055926",18,15,144,166,15,22
"ENSMUSG00000055932",2252,2206,2140,1930,2164,1963
"ENSMUSG00000055943",1010,1053,900,967,1069,878
"ENSMUSG00000055945",20,22,21,30,22,35
"ENSMUSG00000055958",16,9,4,6,19,14
"ENSMUSG00000055963",139,170,78,68,145,146
"ENSMUSG00000055968",45,38,88,57,45,41
"ENSMUSG00000055976",89,89,79,132,29,27
"ENSMUSG00000055978",382,447,105,114,44,35
"ENSMUSG00000055980",3488,2557,701,745,2636,2287
"ENSMUSG00000055991",575,634,379,567,492,737
"ENSMUSG00000055994",81,66,377,92,71,78
"ENSMUSG00000056004",26,57,13,11,21,24
"ENSMUSG00000056014",184,122,157,149,116,82
"ENSMUSG00000056019",166,145,219,197,223,146
"ENSMUSG00000056025",84,83,396,183,100,157
"ENSMUSG00000056031",449,460,513,680,347,467
"ENSMUSG00000056043",26,26,9,12,15,8
"ENSMUSG00000056050",2912,3070,1945,2253,2477,2587
"ENSMUSG00000056055",36,20,13,4,11,12
"ENSMUSG00000056069",81,38,44,105,38,79
"ENSMUSG00000056076",2410,2715,4610,3530,3215,3067
"ENSMUSG00000056091",31,75,16,16,13,27
"ENSMUSG00000056116",352,150,279,142,135,115
"ENSMUSG00000056121",337,304,388,340,333,378
"ENSMUSG00000056124",1317,1649,353,668,526,766
"ENSMUSG00000056131",332,387,379,374,254,297
"ENSMUSG00000056144",103,72,183,114,76,78
"ENSMUSG00000056145",18,12,7,2,8,11
"ENSMUSG00000056148",18,12,0,0,6,12
"ENSMUSG00000056153",797,704,1312,1019,881,644
"ENSMUSG00000056167",1072,1048,1048,1026,934,732
"ENSMUSG00000056174",64,96,16,20,20,15
"ENSMUSG00000056185",207,150,79,106,97,146
"ENSMUSG00000056201",5621,6600,8273,7502,6668,7583
"ENSMUSG00000056203",27,32,3,8,9,31
"ENSMUSG00000056204",602,437,355,435,608,447
"ENSMUSG00000056209",349,339,647,492,381,348
"ENSMUSG00000056211",1980,1951,2167,2455,2320,2205
"ENSMUSG00000056214",1737,1574,3382,3071,2884,2381
"ENSMUSG00000056216",1396,1518,1125,1113,1381,1208
"ENSMUSG00000056220",392,341,1512,996,1007,755
"ENSMUSG00000056222",5262,3962,592,1900,2882,4047
"ENSMUSG00000056228",637,431,483,512,452,493
"ENSMUSG00000056234",3714,7545,1783,2790,4143,4549
"ENSMUSG00000056260",662,710,558,652,568,577
"ENSMUSG00000056267",312,291,335,348,271,227
"ENSMUSG00000056268",1384,1321,1486,1521,1373,1384
"ENSMUSG00000056270",49,59,76,108,58,389
"ENSMUSG00000056293",48,40,418,512,6,30
"ENSMUSG00000056296",20,21,14,8,25,14
"ENSMUSG00000056300",12,54,7,7,3,12
"ENSMUSG00000056305",337,340,683,558,438,416
"ENSMUSG00000056310",349,316,406,329,367,287
"ENSMUSG00000056313",421,512,1446,1651,725,541
"ENSMUSG00000056342",9738,10293,9929,9809,11394,11864
"ENSMUSG00000056367",26,25,278,187,103,96
"ENSMUSG00000056383",312,290,306,351,285,236
"ENSMUSG00000056394",374,597,1395,839,655,438
"ENSMUSG00000056411",20,6,29,30,9,24
"ENSMUSG00000056412",23,6,17,14,13,11
"ENSMUSG00000056418",30,21,21,15,22,11
"ENSMUSG00000056427",2060,1776,307,389,606,1169
"ENSMUSG00000056429",5101,6136,4087,5013,4982,4940
"ENSMUSG00000056445",62,29,42,18,38,46
"ENSMUSG00000056458",35,30,21,23,44,27
"ENSMUSG00000056459",294,214,236,186,235,230
"ENSMUSG00000056468",35,18,10,18,8,21
"ENSMUSG00000056476",168,322,108,182,97,140
"ENSMUSG00000056481",78,109,6,20,15,15
"ENSMUSG00000056486",35,40,6,19,9,18
"ENSMUSG00000056487",7,12,10,10,10,11
"ENSMUSG00000056492",7035,4460,797,1381,2699,2601
"ENSMUSG00000056493",3222,2760,2066,1947,2888,2478
"ENSMUSG00000056498",217,214,309,189,112,111
"ENSMUSG00000056501",1147,1496,606,591,992,1067
"ENSMUSG00000056508",30,31,7,12,9,22
"ENSMUSG00000056515",298,339,654,520,493,381
"ENSMUSG00000056529",27,26,31,15,8,15
"ENSMUSG00000056531",133,140,146,151,157,110
"ENSMUSG00000056536",1373,1122,2146,1795,1850,1515
"ENSMUSG00000056537",7542,9338,6675,6130,6733,6609
"ENSMUSG00000056553",62,76,5,11,17,9
"ENSMUSG00000056569",12,27,5,14,14,8
"ENSMUSG00000056579",7004,6701,6549,7053,7008,6555
"ENSMUSG00000056592",98,39,42,43,90,54
"ENSMUSG00000056596",41,36,11,15,36,16
"ENSMUSG00000056598",18,40,41,34,27,28
"ENSMUSG00000056602",4456,3750,1831,2542,4170,4692
"ENSMUSG00000056608",4730,5050,4574,4263,4458,4791
